                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6729,                   1.72,                  1.589,                0.63453,                0.31215,                0.31726,                0.16214,                 1.7624,                 2.1582,                 1.7475,               0.070052,              0.0033276,              0.0033276
                      2,                 1.6284,                 1.5353,                 1.5767,                0.49371,                0.50318,                0.47365,                0.23722,                 1.6076,                 1.5342,                 1.6035,               0.040045,              0.0066544,              0.0066544
                      3,                 1.5729,                  1.426,                 1.5273,                0.43858,                0.57563,                0.52142,                0.29156,                 1.4572,                 1.2761,                 1.4923,               0.010013,              0.0099552,              0.0099552
                      4,                 1.5141,                 1.3412,                 1.4815,                0.43721,                0.59382,                0.54502,                0.28635,                 1.4949,                 1.3411,                 1.5614,              0.0099123,              0.0099123,              0.0099123
                      5,                 1.4708,                 1.2752,                 1.4529,                0.49779,                0.61494,                0.56539,                0.32208,                 1.3762,                 1.1177,                 1.4393,              0.0098445,              0.0098445,              0.0098445
                      6,                 1.4484,                 1.2436,                 1.4302,                0.49446,                0.64504,                 0.5683,                0.31331,                 1.3944,                 1.0658,                 1.4189,              0.0097577,              0.0097577,              0.0097577
                      7,                 1.4187,                 1.2042,                 1.4164,                0.51959,                0.63982,                0.57095,                0.31543,                  1.373,                 1.1094,                 1.4188,              0.0096524,              0.0096524,              0.0096524
                      8,                 1.3985,                  1.177,                 1.4073,                  0.554,                0.62837,                0.60316,                0.34359,                 1.3196,                 1.0799,                  1.362,              0.0095289,              0.0095289,              0.0095289
                      9,                 1.3896,                 1.1595,                 1.3919,                0.49221,                0.66916,                0.61809,                0.35339,                 1.2749,                 1.0085,                 1.3027,              0.0093877,              0.0093877,              0.0093877
                     10,                 1.3683,                 1.1297,                 1.3792,                 0.4842,                0.69702,                0.59402,                0.34362,                 1.2815,                 1.0089,                 1.3229,              0.0092294,              0.0092294,              0.0092294
